timestamp,x1,y1,tx1,ty1,action
0,0,0,0,0,r
1,0,0,0,0,l
2,0,0,0,0,s
3,0,0,0,0,l
4,0,0,0,0,s
5,0,0,0,0,l
6,0,0,0,0,s
7,0,0,0,0,u
8,0,0,0,0,u
9,0,0,0,0,s
10,0,0,0,0,d
11,0,0,0,0,r
12,0,0,0,0,l
13,0,0,0,0,r
14,0,0,0,0,u
0,0,0,0,1,d
1,0,0,0,1,r
2,0,0,0,1,d
3,0,0,0,1,l
4,0,0,0,1,d
5,0,0,0,1,l
6,0,0,0,1,d
7,0,0,0,1,l
8,0,0,0,1,r
9,0,0,0,1,d
10,0,0,0,1,r
11,0,0,0,1,d
12,0,0,0,1,r
13,0,0,0,1,d
14,0,0,0,1,d
0,0,0,0,2,d
1,0,0,0,2,d
2,0,0,0,2,r
3,0,0,0,2,d
4,0,0,0,2,d
5,0,0,0,2,d
6,0,0,0,2,d
7,0,0,0,2,d
8,0,0,0,2,d
9,0,0,0,2,d
10,0,0,0,2,l
11,0,0,0,2,d
12,0,0,0,2,r
13,0,0,0,2,d
14,0,0,0,2,d
0,0,0,0,3,d
1,0,0,0,3,d
2,0,0,0,3,l
3,0,0,0,3,d
4,0,0,0,3,d
5,0,0,0,3,d
6,0,0,0,3,d
7,0,0,0,3,d
8,0,0,0,3,d
9,0,0,0,3,d
10,0,0,0,3,r
11,0,0,0,3,d
12,0,0,0,3,d
13,0,0,0,3,r
14,0,0,0,3,d
0,0,0,0,4,l
1,0,0,0,4,d
2,0,0,0,4,l
3,0,0,0,4,d
4,0,0,0,4,d
5,0,0,0,4,d
6,0,0,0,4,d
7,0,0,0,4,d
8,0,0,0,4,d
9,0,0,0,4,l
10,0,0,0,4,d
11,0,0,0,4,d
12,0,0,0,4,d
13,0,0,0,4,l
14,0,0,0,4,d
0,0,0,0,5,d
1,0,0,0,5,d
2,0,0,0,5,r
3,0,0,0,5,d
4,0,0,0,5,d
5,0,0,0,5,r
6,0,0,0,5,r
7,0,0,0,5,d
8,0,0,0,5,d
9,0,0,0,5,r
10,0,0,0,5,d
11,0,0,0,5,d
12,0,0,0,5,d
13,0,0,0,5,d
14,0,0,0,5,r
0,0,0,0,6,d
1,0,0,0,6,r
2,0,0,0,6,l
3,0,0,0,6,d
4,0,0,0,6,d
5,0,0,0,6,r
6,0,0,0,6,d
7,0,0,0,6,l
8,0,0,0,6,d
9,0,0,0,6,d
10,0,0,0,6,d
11,0,0,0,6,d
12,0,0,0,6,d
13,0,0,0,6,d
14,0,0,0,6,d
0,0,0,0,7,d
1,0,0,0,7,d
2,0,0,0,7,r
3,0,0,0,7,r
4,0,0,0,7,d
5,0,0,0,7,d
6,0,0,0,7,d
7,0,0,0,7,d
8,0,0,0,7,d
9,0,0,0,7,l
10,0,0,0,7,d
11,0,0,0,7,d
12,0,0,0,7,r
13,0,0,0,7,d
14,0,0,0,7,d
0,0,0,1,0,r
1,0,0,1,0,u
2,0,0,1,0,u
3,0,0,1,0,r
4,0,0,1,0,r
5,0,0,1,0,r
6,0,0,1,0,r
7,0,0,1,0,r
8,0,0,1,0,u
9,0,0,1,0,r
10,0,0,1,0,r
11,0,0,1,0,u
12,0,0,1,0,d
13,0,0,1,0,r
14,0,0,1,0,r
0,0,0,1,1,d
1,0,0,1,1,l
2,0,0,1,1,r
3,0,0,1,1,d
4,0,0,1,1,r
5,0,0,1,1,d
6,0,0,1,1,d
7,0,0,1,1,r
8,0,0,1,1,d
9,0,0,1,1,r
10,0,0,1,1,d
11,0,0,1,1,r
12,0,0,1,1,d
13,0,0,1,1,r
14,0,0,1,1,u
0,0,0,1,2,d
1,0,0,1,2,r
2,0,0,1,2,l
3,0,0,1,2,d
4,0,0,1,2,r
5,0,0,1,2,d
6,0,0,1,2,r
7,0,0,1,2,l
8,0,0,1,2,d
9,0,0,1,2,r
10,0,0,1,2,r
11,0,0,1,2,d
